Alg = 1 	 Range = 1 	 NbElements = 12582912 	 Size = 2048 	 Time = 0.03354275 s 	 Performance = 512.1783 GFLOPS
Alg = 1 	 Range = 1 	 NbElements = 15925248 	 Size = 2304 	 Time = 0.04733326 s 	 Throughput = 2.6916 GB/s
Alg = 1 	 Range = 1 	 NbElements = 15925248 	 Size = 2304 	 Time = 0.04733326 s 	 Performance = 516.7863 GFLOPS
Alg = 1 	 Range = 1 	 NbElements = 19660800 	 Size = 2560 	 Time = 0.06513269 s 	 Throughput = 2.4149 GB/s
Alg = 1 	 Range = 1 	 NbElements = 19660800 	 Size = 2560 	 Time = 0.06513269 s 	 Performance = 515.1704 GFLOPS
Alg = 1 	 Range = 1 	 NbElements = 23789568 	 Size = 2816 	 Time = 0.08730446 s 	 Throughput = 2.1799 GB/s
Alg = 1 	 Range = 1 	 NbElements = 23789568 	 Size = 2816 	 Time = 0.08730446 s 	 Performance = 511.5540 GFLOPS
Alg = 1 	 Range = 1 	 NbElements = 28311552 	 Size = 3072 	 Time = 0.11860874 s 	 Throughput = 1.9096 GB/s
Alg = 1 	 Range = 1 	 NbElements = 28311552 	 Size = 3072 	 Time = 0.11860874 s 	 Performance = 488.8515 GFLOPS
Alg = 1 	 Range = 1 	 NbElements = 33226752 	 Size = 3328 	 Time = 0.15375793 s 	 Throughput = 1.7288 GB/s
Alg = 1 	 Range = 1 	 NbElements = 33226752 	 Size = 3328 	 Time = 0.15375793 s 	 Performance = 479.4490 GFLOPS
Alg = 1 	 Range = 1 	 NbElements = 38535168 	 Size = 3584 	 Time = 0.19452741 s 	 Throughput = 1.5848 GB/s
Alg = 1 	 Range = 1 	 NbElements = 38535168 	 Size = 3584 	 Time = 0.19452741 s 	 Performance = 473.3182 GFLOPS
Alg = 1 	 Range = 1 	 NbElements = 44236800 	 Size = 3840 	 Time = 0.24094298 s 	 Throughput = 1.4688 GB/s
Alg = 1 	 Range = 1 	 NbElements = 44236800 	 Size = 3840 	 Time = 0.24094298 s 	 Performance = 470.0125 GFLOPS
Alg = 1 	 Range = 1 	 NbElements = 50331648 	 Size = 4096 	 Time = 0.29444783 s 	 Throughput = 1.3675 GB/s
Alg = 1 	 Range = 1 	 NbElements = 50331648 	 Size = 4096 	 Time = 0.29444783 s 	 Performance = 466.7684 GFLOPS
Alg = 2 	 Range = 1 	 NbElements = 196608 	 Size = 256 	 Time = 0.00056891 s 	 Throughput = 2.7647 GB/s
Alg = 2 	 Range = 1 	 NbElements = 196608 	 Size = 256 	 Time = 0.00056891 s 	 Performance = 58.9799 GFLOPS
Alg = 2 	 Range = 1 	 NbElements = 786432 	 Size = 512 	 Time = 0.00166039 s 	 Throughput = 3.7891 GB/s
Alg = 2 	 Range = 1 	 NbElements = 786432 	 Size = 512 	 Time = 0.00166039 s 	 Performance = 161.6703 GFLOPS
Alg = 2 	 Range = 1 	 NbElements = 1769472 	 Size = 768 	 Time = 0.00247485 s 	 Throughput = 5.7199 GB/s
Alg = 2 	 Range = 1 	 NbElements = 1769472 	 Size = 768 	 Time = 0.00247485 s 	 Performance = 366.0705 GFLOPS
Alg = 2 	 Range = 1 	 NbElements = 3145728 	 Size = 1024 	 Time = 0.00550044 s 	 Throughput = 4.5752 GB/s
Alg = 2 	 Range = 1 	 NbElements = 3145728 	 Size = 1024 	 Time = 0.00550044 s 	 Performance = 390.4201 GFLOPS
Alg = 2 	 Range = 1 	 NbElements = 4915200 	 Size = 1280 	 Time = 0.01021316 s 	 Throughput = 3.8501 GB/s
Alg = 2 	 Range = 1 	 NbElements = 4915200 	 Size = 1280 	 Time = 0.01021316 s 	 Performance = 410.6765 GFLOPS
Alg = 2 	 Range = 1 	 NbElements = 7077888 	 Size = 1536 	 Time = 0.01744583 s 	 Throughput = 3.2457 GB/s
Alg = 2 	 Range = 1 	 NbElements = 7077888 	 Size = 1536 	 Time = 0.01744583 s 	 Performance = 415.4436 GFLOPS
Alg = 2 	 Range = 1 	 NbElements = 9633792 	 Size = 1792 	 Time = 0.02734013 s 	 Throughput = 2.8189 GB/s
Alg = 2 	 Range = 1 	 NbElements = 9633792 	 Size = 1792 	 Time = 0.02734013 s 	 Performance = 420.9625 GFLOPS
Alg = 2 	 Range = 1 	 NbElements = 12582912 	 Size = 2048 	 Time = 0.04054814 s 	 Throughput = 2.4826 GB/s
Alg = 2 	 Range = 1 	 NbElements = 12582912 	 Size = 2048 	 Time = 0.04054814 s 	 Performance = 423.6907 GFLOPS
Alg = 2 	 Range = 1 	 NbElements = 15925248 	 Size = 2304 	 Time = 0.05730377 s 	 Throughput = 2.2233 GB/s
Alg = 2 	 Range = 1 	 NbElements = 15925248 	 Size = 2304 	 Time = 0.05730377 s 	 Performance = 426.8686 GFLOPS
Alg = 2 	 Range = 1 	 NbElements = 19660800 	 Size = 2560 	 Time = 0.07862447 s 	 Throughput = 2.0005 GB/s
Alg = 2 	 Range = 1 	 NbElements = 19660800 	 Size = 2560 	 Time = 0.07862447 s 	 Performance = 426.7683 GFLOPS
Alg = 2 	 Range = 1 	 NbElements = 23789568 	 Size = 2816 	 Time = 0.10429505 s 	 Throughput = 1.8248 GB/s
Alg = 2 	 Range = 1 	 NbElements = 23789568 	 Size = 2816 	 Time = 0.10429505 s 	 Performance = 428.2173 GFLOPS
Alg = 2 	 Range = 1 	 NbElements = 28311552 	 Size = 3072 	 Time = 0.13560778 s 	 Throughput = 1.6702 GB/s
Alg = 2 	 Range = 1 	 NbElements = 28311552 	 Size = 3072 	 Time = 0.13560778 s 	 Performance = 427.5718 GFLOPS
Alg = 2 	 Range = 1 	 NbElements = 33226752 	 Size = 3328 	 Time = 0.17202533 s 	 Throughput = 1.5452 GB/s
Alg = 2 	 Range = 1 	 NbElements = 33226752 	 Size = 3328 	 Time = 0.17202533 s 	 Performance = 428.5362 GFLOPS
Alg = 2 	 Range = 1 	 NbElements = 38535168 	 Size = 3584 	 Time = 0.21448033 s 	 Throughput = 1.4373 GB/s
Alg = 2 	 Range = 1 	 NbElements = 38535168 	 Size = 3584 	 Time = 0.21448033 s 	 Performance = 429.2858 GFLOPS
Alg = 2 	 Range = 1 	 NbElements = 44236800 	 Size = 3840 	 Time = 0.26382733 s 	 Throughput = 1.3414 GB/s
Alg = 2 	 Range = 1 	 NbElements = 44236800 	 Size = 3840 	 Time = 0.26382733 s 	 Performance = 429.2437 GFLOPS
Alg = 2 	 Range = 1 	 NbElements = 50331648 	 Size = 4096 	 Time = 0.32149975 s 	 Throughput = 1.2524 GB/s
Alg = 2 	 Range = 1 	 NbElements = 50331648 	 Size = 4096 	 Time = 0.32149975 s 	 Performance = 427.4932 GFLOPS
Alg = 3 	 Range = 1 	 NbElements = 196608 	 Size = 256 	 Time = 0.01490024 s 	 Throughput = 0.1056 GB/s
Alg = 3 	 Range = 1 	 NbElements = 196608 	 Size = 256 	 Time = 0.01490024 s 	 Performance = 2.2519 GFLOPS
Alg = 3 	 Range = 1 	 NbElements = 786432 	 Size = 512 	 Time = 0.11482491 s 	 Throughput = 0.0548 GB/s
Alg = 3 	 Range = 1 	 NbElements = 786432 	 Size = 512 	 Time = 0.11482491 s 	 Performance = 2.3378 GFLOPS
Alg = 3 	 Range = 1 	 NbElements = 1769472 	 Size = 768 	 Time = 0.38497082 s 	 Throughput = 0.0368 GB/s
Alg = 3 	 Range = 1 	 NbElements = 1769472 	 Size = 768 	 Time = 0.38497082 s 	 Performance = 2.3533 GFLOPS
Alg = 3 	 Range = 1 	 NbElements = 3145728 	 Size = 1024 	 Time = 0.91113955 s 	 Throughput = 0.0276 GB/s
Alg = 3 	 Range = 1 	 NbElements = 3145728 	 Size = 1024 	 Time = 0.91113955 s 	 Performance = 2.3569 GFLOPS
Alg = 3 	 Range = 1 	 NbElements = 4915200 	 Size = 1280 	 Time = 1.78089300 s 	 Throughput = 0.0221 GB/s
Alg = 3 	 Range = 1 	 NbElements = 4915200 	 Size = 1280 	 Time = 1.78089300 s 	 Performance = 2.3552 GFLOPS
Alg = 3 	 Range = 1 	 NbElements = 7077888 	 Size = 1536 	 Time = 3.07585317 s 	 Throughput = 0.0184 GB/s
Alg = 3 	 Range = 1 	 NbElements = 7077888 	 Size = 1536 	 Time = 3.07585317 s 	 Performance = 2.3563 GFLOPS
Alg = 3 	 Range = 1 	 NbElements = 9633792 	 Size = 1792 	 Time = 4.87864231 s 	 Throughput = 0.0158 GB/s
Alg = 3 	 Range = 1 	 NbElements = 9633792 	 Size = 1792 	 Time = 4.87864231 s 	 Performance = 2.3591 GFLOPS
Alg = 3 	 Range = 1 	 NbElements = 12582912 	 Size = 2048 	 Time = 7.27978037 s 	 Throughput = 0.0138 GB/s
Alg = 3 	 Range = 1 	 NbElements = 12582912 	 Size = 2048 	 Time = 7.27978037 s 	 Performance = 2.3599 GFLOPS
Alg = 3 	 Range = 1 	 NbElements = 15925248 	 Size = 2304 	 Time = 10.36220710 s 	 Throughput = 0.0123 GB/s
Alg = 3 	 Range = 1 	 NbElements = 15925248 	 Size = 2304 	 Time = 10.36220710 s 	 Performance = 2.3606 GFLOPS
Alg = 3 	 Range = 1 	 NbElements = 19660800 	 Size = 2560 	 Time = 14.21418284 s 	 Throughput = 0.0111 GB/s
Alg = 3 	 Range = 1 	 NbElements = 19660800 	 Size = 2560 	 Time = 14.21418284 s 	 Performance = 2.3606 GFLOPS
Alg = 3 	 Range = 1 	 NbElements = 23789568 	 Size = 2816 	 Time = 18.91702503 s 	 Throughput = 0.0101 GB/s
Alg = 3 	 Range = 1 	 NbElements = 23789568 	 Size = 2816 	 Time = 18.91702503 s 	 Performance = 2.3609 GFLOPS
Alg = 3 	 Range = 1 	 NbElements = 28311552 	 Size = 3072 	 Time = 24.55811035 s 	 Throughput = 0.0092 GB/s
Alg = 3 	 Range = 1 	 NbElements = 28311552 	 Size = 3072 	 Time = 24.55811035 s 	 Performance = 2.3610 GFLOPS
Alg = 3 	 Range = 1 	 NbElements = 33226752 	 Size = 3328 	 Time = 31.21078151 s 	 Throughput = 0.0085 GB/s
Alg = 3 	 Range = 1 	 NbElements = 33226752 	 Size = 3328 	 Time = 31.21078151 s 	 Performance = 2.3620 GFLOPS
Alg = 3 	 Range = 1 	 NbElements = 38535168 	 Size = 3584 	 Time = 38.99951402 s 	 Throughput = 0.0079 GB/s
Alg = 3 	 Range = 1 	 NbElements = 38535168 	 Size = 3584 	 Time = 38.99951402 s 	 Performance = 2.3609 GFLOPS
Alg = 3 	 Range = 1 	 NbElements = 44236800 	 Size = 3840 	 Time = 47.96195235 s 	 Throughput = 0.0074 GB/s
Alg = 3 	 Range = 1 	 NbElements = 44236800 	 Size = 3840 	 Time = 47.96195235 s 	 Performance = 2.3612 GFLOPS
Alg = 3 	 Range = 1 	 NbElements = 50331648 	 Size = 4096 	 Time = 58.22749007 s 	 Throughput = 0.0069 GB/s
Alg = 3 	 Range = 1 	 NbElements = 50331648 	 Size = 4096 	 Time = 58.22749007 s 	 Performance = 2.3604 GFLOPS
Alg = 7 	 Range = 1 	 NbElements = 196608 	 Size = 256 	 Time = 0.08018290 s 	 Throughput = 0.0196 GB/s
Alg = 7 	 Range = 1 	 NbElements = 196608 	 Size = 256 	 Time = 0.08018290 s 	 Performance = 0.4185 GFLOPS
Alg = 7 	 Range = 1 	 NbElements = 786432 	 Size = 512 	 Time = 0.63054968 s 	 Throughput = 0.0100 GB/s
Alg = 7 	 Range = 1 	 NbElements = 786432 	 Size = 512 	 Time = 0.63054968 s 	 Performance = 0.4257 GFLOPS
Alg = 7 	 Range = 1 	 NbElements = 1769472 	 Size = 768 	 Time = 2.12474009 s 	 Throughput = 0.0067 GB/s
Alg = 7 	 Range = 1 	 NbElements = 1769472 	 Size = 768 	 Time = 2.12474009 s 	 Performance = 0.4264 GFLOPS
Alg = 7 	 Range = 1 	 NbElements = 3145728 	 Size = 1024 	 Time = 5.02062880 s 	 Throughput = 0.0050 GB/s
Alg = 7 	 Range = 1 	 NbElements = 3145728 	 Size = 1024 	 Time = 5.02062880 s 	 Performance = 0.4277 GFLOPS
Alg = 7 	 Range = 1 	 NbElements = 4915200 	 Size = 1280 	 Time = 9.80035371 s 	 Throughput = 0.0040 GB/s
Alg = 7 	 Range = 1 	 NbElements = 4915200 	 Size = 1280 	 Time = 9.80035371 s 	 Performance = 0.4280 GFLOPS
