Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00456010 s 	 Performance = 7.3583 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00907017 s 	 Throughput = 59.1908 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00907017 s 	 Performance = 7.3989 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01786212 s 	 Throughput = 60.1128 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01786212 s 	 Performance = 7.5141 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00056717 s 	 Throughput = 0.0289 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00056717 s 	 Performance = 0.0036 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00066411 s 	 Throughput = 0.0493 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00066411 s 	 Performance = 0.0062 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00069403 s 	 Throughput = 0.0944 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00069403 s 	 Performance = 0.0118 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00052959 s 	 Throughput = 0.2475 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00052959 s 	 Performance = 0.0309 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00066051 s 	 Throughput = 0.3969 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00066051 s 	 Performance = 0.0496 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00053003 s 	 Throughput = 0.9892 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00053003 s 	 Performance = 0.1236 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00054610 s 	 Throughput = 1.9201 GB/s
