Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00015718 s 	 Throughput = 0.8339 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00014685 s 	 Throughput = 0.8926 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00015741 s 	 Throughput = 0.8327 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00023274 s 	 Throughput = 0.5632 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00007110 s 	 Throughput = 3.6868 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00020256 s 	 Throughput = 1.2942 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00014582 s 	 Throughput = 1.7977 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00015437 s 	 Throughput = 1.6982 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00015290 s 	 Throughput = 1.7145 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00015613 s 	 Throughput = 1.6790 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00015040 s 	 Throughput = 1.7430 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00016074 s 	 Throughput = 1.6309 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00023776 s 	 Throughput = 1.1026 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00006758 s 	 Throughput = 7.7576 GB/s
