1306:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00043491 s 	 Throughput = 0.3014 GB/s
1339:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00044927 s 	 Throughput = 0.2917 GB/s
1372:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00048098 s 	 Throughput = 0.2725 GB/s
1405:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00039412 s 	 Throughput = 0.3326 GB/s
1438:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00039872 s 	 Throughput = 0.3287 GB/s
1471:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00069164 s 	 Throughput = 0.1895 GB/s
1504:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00013066 s 	 Throughput = 2.0064 GB/s
1537:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00048662 s 	 Throughput = 0.5387 GB/s
1570:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00041525 s 	 Throughput = 0.6313 GB/s
1603:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00044428 s 	 Throughput = 0.5900 GB/s
1636:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00046145 s 	 Throughput = 0.5681 GB/s
1669:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00050376 s 	 Throughput = 0.5204 GB/s
1702:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00040566 s 	 Throughput = 0.6462 GB/s
1735:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00041294 s 	 Throughput = 0.6348 GB/s
1768:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00044237 s 	 Throughput = 0.5926 GB/s
1801:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00015039 s 	 Throughput = 3.4863 GB/s
