Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00015466 s 	 Throughput = 0.8475 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00014886 s 	 Throughput = 0.8805 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00015283 s 	 Throughput = 0.8576 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00024512 s 	 Throughput = 0.5347 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00007158 s 	 Throughput = 3.6620 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00020371 s 	 Throughput = 1.2868 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00014464 s 	 Throughput = 1.8124 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00014918 s 	 Throughput = 1.7572 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00015187 s 	 Throughput = 1.7261 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00015715 s 	 Throughput = 1.6681 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00014906 s 	 Throughput = 1.7587 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00016189 s 	 Throughput = 1.6193 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00024170 s 	 Throughput = 1.0846 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00007066 s 	 Throughput = 7.4203 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00021088 s 	 Throughput = 2.4862 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00014950 s 	 Throughput = 3.5068 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00015549 s 	 Throughput = 3.3719 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00015952 s 	 Throughput = 3.2867 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00017875 s 	 Throughput = 2.9330 GB/s
