65536 1 0.000570 0.000504 0.000519 0.000528 0.000521 0.000524 
131072 1 0.000461 0.000530 0.000547 0.000543 0.000580 0.000555 
262144 1 0.000543 0.000574 0.000578 0.000584 0.000611 0.000423 
524288 1 0.000747 0.000349 0.000500 0.000495 0.000518 0.000498 
1048576 1 0.000938 0.000356 0.000384 0.000309 0.000317 0.000229 
2097152 1 0.000848 0.000251 0.000298 0.000342 0.000361 0.000274 
4194304 1 0.001555 0.000324 0.000362 0.000419 0.000542 0.000359 
8388608 1 0.002779 0.000476 0.000498 0.000539 0.000872 0.000504 
16777216 1 0.005404 0.000770 0.000798 0.000933 0.001540 0.000830 
33554432 1 0.010370 0.001428 0.001441 0.001677 0.002830 0.001457 
67108864 1 0.020306 0.002602 0.002607 0.003080 0.005395 0.002712 
134217728 1 0.040758 0.004949 0.005232 0.005964 0.010639 0.005718 
268435456 1 0.080815 0.009904 0.010419 0.011989 0.021102 0.011395
