65536 1 0.000162 0.000160 0.000159 0.000170 0.000205 0.000200 
131072 1 0.000183 0.000172 0.000172 0.000199 0.000234 0.000223 
262144 1 0.000244 0.000182 0.000189 0.000213 0.000257 0.000241 
524288 1 0.000339 0.000193 0.000202 0.000229 0.000279 0.000252 
1048576 1 0.000545 0.000245 0.000239 0.000282 0.000353 0.000310 
2097152 1 0.000938 0.000293 0.000292 0.000342 0.000454 0.000378 
4194304 1 0.001711 0.000414 0.000415 0.000479 0.000680 0.000515 
8388608 1 0.003293 0.000685 0.000688 0.000755 0.001152 0.000801 
16777216 1 0.006420 0.001227 0.001227 0.001320 0.002033 0.001364 
33554432 1 0.012748 0.002258 0.002271 0.002431 0.003803 0.002488 
67108864 1 0.025254 0.004344 0.004378 0.004680 0.007383 0.004752 
134217728 1 0.050040 0.008503 0.008598 0.009208 0.014557 0.009285
268435456 1 0.100563 0.016882 0.017062 0.018366 0.028779 0.018374
