1306:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00043645 s 	 Throughput = 0.3003 GB/s
1339:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00044415 s 	 Throughput = 0.2951 GB/s
1372:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00048338 s 	 Throughput = 0.2712 GB/s
1405:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00039477 s 	 Throughput = 0.3320 GB/s
1438:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00039311 s 	 Throughput = 0.3334 GB/s
1471:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00044363 s 	 Throughput = 0.2955 GB/s
1504:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00012697 s 	 Throughput = 2.0647 GB/s
1537:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00047934 s 	 Throughput = 0.5469 GB/s
1570:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00039843 s 	 Throughput = 0.6579 GB/s
1603:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00043701 s 	 Throughput = 0.5999 GB/s
1636:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00044267 s 	 Throughput = 0.5922 GB/s
1669:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00048672 s 	 Throughput = 0.5386 GB/s
1702:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00038317 s 	 Throughput = 0.6842 GB/s
1735:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00041174 s 	 Throughput = 0.6367 GB/s
1768:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00044406 s 	 Throughput = 0.5903 GB/s
1801:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00013735 s 	 Throughput = 3.8173 GB/s
1834:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00050232 s 	 Throughput = 1.0437 GB/s
1867:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00042174 s 	 Throughput = 1.2431 GB/s
1900:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00047400 s 	 Throughput = 1.1061 GB/s
1933:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00048391 s 	 Throughput = 1.0834 GB/s
1966:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00052647 s 	 Throughput = 0.9958 GB/s
1999:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00042987 s 	 Throughput = 1.2196 GB/s
2032:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00045392 s 	 Throughput = 1.1550 GB/s
2065:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00052774 s 	 Throughput = 0.9935 GB/s
2098:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00014802 s 	 Throughput = 7.0842 GB/s
2131:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00053990 s 	 Throughput = 1.9422 GB/s
2164:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00047526 s 	 Throughput = 2.2063 GB/s
2197:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00049860 s 	 Throughput = 2.1031 GB/s
2230:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00050895 s 	 Throughput = 2.0603 GB/s
2263:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00057893 s 	 Throughput = 1.8112 GB/s
2296:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00046127 s 	 Throughput = 2.2732 GB/s
2329:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00048786 s 	 Throughput = 2.1493 GB/s
2362:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00044186 s 	 Throughput = 2.3731 GB/s
2395:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00017709 s 	 Throughput = 11.8426 GB/s
2428:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00064199 s 	 Throughput = 3.2666 GB/s
2461:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00049866 s 	 Throughput = 4.2056 GB/s
2494:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00053897 s 	 Throughput = 3.8910 GB/s
2527:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00055122 s 	 Throughput = 3.8046 GB/s
2560:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00064985 s 	 Throughput = 3.2271 GB/s
2593:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00049534 s 	 Throughput = 4.2338 GB/s
2626:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00052845 s 	 Throughput = 3.9685 GB/s
2659:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00042477 s 	 Throughput = 4.9372 GB/s
2692:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00034271 s 	 Throughput = 12.2386 GB/s
2725:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00053129 s 	 Throughput = 7.8946 GB/s
2758:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00045217 s 	 Throughput = 9.2759 GB/s
2791:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00060827 s 	 Throughput = 6.8954 GB/s
2824:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00044626 s 	 Throughput = 9.3988 GB/s
2857:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00053018 s 	 Throughput = 7.9111 GB/s
2890:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00056895 s 	 Throughput = 7.3721 GB/s
2923:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00060261 s 	 Throughput = 6.9603 GB/s
2956:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00068408 s 	 Throughput = 6.1313 GB/s
2989:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00042523 s 	 Throughput = 19.7274 GB/s
