Alg = 1 	 NbFPE = 3 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00057724 s 	 Throughput = 3.6331 GB/s
Alg = 1 	 NbFPE = 3 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00044435 s 	 Throughput = 9.4391 GB/s
Alg = 1 	 NbFPE = 3 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00080581 s 	 Throughput = 10.4102 GB/s
Alg = 1 	 NbFPE = 3 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00054945 s 	 Throughput = 30.5345 GB/s
Alg = 1 	 NbFPE = 3 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00035726 s 	 Throughput = 93.9227 GB/s
Alg = 1 	 NbFPE = 3 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00048539 s 	 Throughput = 138.2568 GB/s
Alg = 1 	 NbFPE = 3 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00082253 s 	 Throughput = 163.1773 GB/s
Alg = 1 	 NbFPE = 3 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00127830 s 	 Throughput = 209.9944 GB/s
Alg = 1 	 NbFPE = 3 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00260298 s 	 Throughput = 206.2521 GB/s
Alg = 1 	 NbFPE = 4 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00064478 s 	 Throughput = 0.0127 GB/s
Alg = 1 	 NbFPE = 4 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00060794 s 	 Throughput = 0.0269 GB/s
Alg = 1 	 NbFPE = 4 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00052793 s 	 Throughput = 0.0621 GB/s
Alg = 1 	 NbFPE = 4 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00056859 s 	 Throughput = 0.1153 GB/s
Alg = 1 	 NbFPE = 4 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00062623 s 	 Throughput = 0.2093 GB/s
Alg = 1 	 NbFPE = 4 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00058851 s 	 Throughput = 0.4454 GB/s
Alg = 1 	 NbFPE = 4 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00062563 s 	 Throughput = 0.8380 GB/s
Alg = 1 	 NbFPE = 4 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00069321 s 	 Throughput = 1.5126 GB/s
