1	18.028775	3.8289125	4.2332375	17.3631875	16.862275	10.0197625	15.1096	14.9057625	14.90015	.  
10	18.0301625	4.482725	4.026575	17.3596	16.8712875	10.0272625	15.120225	14.8903625	14.8979375	.  
20	17.99505	4.6225625	3.9521875	17.3570875	16.8753625	10.01725	15.1394375	14.946025	14.9388375	.  
30	18.03125	4.153775	3.5470875	14.8509875	16.7510125	9.93395	14.699575	14.2145625	14.196275	.  
40	18.04305	3.7415625	3.743725	7.4687	16.7898375	9.9596125	13.4273625	12.209675	12.2466375	.  
50	18.01615	3.7355375	3.75205	6.4082125	16.7159	9.9326125	13.184575	11.8237625	11.8395875	.  
60	18.029475	3.7271625	3.8556	5.371375	13.6530625	9.8681875	10.9033625	11.1955875	11.229275	.  
70	18.021875	3.7129	3.96355	5.122025	8.2383125	9.8884	7.11565	10.0576375	10.111825	.  
80	18.01375	3.788775	4.029375	4.9058625	6.7376875	9.8383	5.927175	9.6604875	9.7579375	.  
90	18.011975	3.8744	3.6703	4.8366875	5.8017125	9.81	5.1845875	9.19765	9.144375	.  
100	18.0318	3.96325	3.7691625	4.8330875	5.4027625	9.819025	4.84795	8.609825	8.4651625	.  
150	18.0153	4.414375	3.99795	4.4481125	4.7084375	9.68445	4.291675	4.509275	6.56205	.  
200	18.0277625	4.781575	4.3273375	4.5842875	4.5270875	5.803625	4.1508125	3.9387125	4.27065	.  
250	18.0183125	5.06585	4.56665	4.7689875	4.573575	4.6865375	4.20595	3.7794	3.68035	.  
300	18.0285375	5.269325	4.7438	4.907275	4.653975	4.3681	4.2761875	3.726525	3.4834	.  
400	18.02745	5.3930375	4.8478	5.011	4.7225	4.1927125	4.3500375	3.7246	3.4114625	.  
500	18.0050125	5.429275	4.8683625	5.0272125	4.7125375	4.113125	4.34945	3.722825	3.396725	.  
