Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.01766704 s 	 Performance = 3.7985 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03505411 s 	 Throughput = 30.6310 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03505411 s 	 Performance = 3.8289 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.06972221 s 	 Throughput = 30.8006 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.06972221 s 	 Performance = 3.8501 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00019782 s 	 Throughput = 0.0828 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00019782 s 	 Performance = 0.0104 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00019830 s 	 Throughput = 0.1652 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00019830 s 	 Performance = 0.0207 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00020378 s 	 Throughput = 0.3216 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00020378 s 	 Performance = 0.0402 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00019187 s 	 Throughput = 0.6831 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00019187 s 	 Performance = 0.0854 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00020374 s 	 Throughput = 1.2866 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00020374 s 	 Performance = 0.1608 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00021174 s 	 Throughput = 2.4760 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00021174 s 	 Performance = 0.3095 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00023382 s 	 Throughput = 4.4845 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00023382 s 	 Performance = 0.5606 GFLOPS
