1	28.721775	7.5289625	8.032125	29.0127625	28.472075	11.837225	28.4182625	28.060025	27.749325	.  
10	28.201175	7.5285125	8.0447875	28.8335	28.4562	11.8352375	28.3923375	28.0202625	27.6489	.  
20	28.2853875	7.523675	8.0483875	29.01675	28.4084875	11.806825	28.3379875	27.5486625	27.60185	.  
30	28.5100125	7.529425	6.72715	18.7703625	27.93655	11.7596	27.5515875	26.5170875	26.2424	.  
40	28.2035	7.5294375	6.871175	8.5939125	28.0961625	11.75545	25.0259625	23.899775	23.8169375	.  
50	27.9331875	7.5254875	6.8976375	7.879625	27.9056375	11.7530375	24.51935	23.4029	23.3236875	.  
60	28.1880125	7.4971	6.9079875	6.5727375	16.4584125	11.6948625	14.77045	21.934325	22.0151	.  
70	28.2322625	7.5304375	6.8908625	6.5690125	8.837825	11.6839	8.2790875	20.086975	19.9297875	.  
80	27.9459375	7.5287875	6.9033875	6.587675	7.3353625	11.692625	6.93485	19.560325	19.3746875	.  
90	28.2136625	7.5114375	6.9216625	6.6078625	6.4261375	11.6014875	6.092175	18.3734	18.4096625	.  
100	28.215525	7.4988125	6.92415	6.6059125	6.293975	11.6663625	5.9958875	17.4232625	17.152725	.  
150	28.207175	7.5826875	6.977225	6.68485	6.382675	11.5630875	6.079025	5.710275	13.939775	.  
200	28.874925	7.7283625	7.079775	6.8095	6.5108125	4.9985875	6.1992875	5.5835625	5.9010375	.  
250	27.9221875	7.9361625	7.2513875	6.9456	6.6287125	4.464425	6.320775	5.680975	5.2520375	.  
300	28.1952125	8.1064625	7.397225	7.0841375	6.7698125	4.49315	6.4327625	5.7646125	5.2685625	.  
400	28.88805	8.377275	7.6217625	7.273325	6.927325	4.591025	6.5780625	5.9022375	5.3766875	.  
500	28.2449625	8.5421625	7.7474125	7.3953625	7.0580125	4.6406625	6.7013625	5.9904	5.4493375	.  
