Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00452047 s 	 Performance = 7.4228 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00899307 s 	 Throughput = 59.6983 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00899307 s 	 Performance = 7.4623 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782583 s 	 Throughput = 60.2352 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782583 s 	 Performance = 7.5294 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00057222 s 	 Throughput = 0.0286 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00057222 s 	 Performance = 0.0036 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00057934 s 	 Throughput = 0.0566 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00057934 s 	 Performance = 0.0071 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00058964 s 	 Throughput = 0.1111 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00058964 s 	 Performance = 0.0139 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00058194 s 	 Throughput = 0.2252 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00058194 s 	 Performance = 0.0282 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00057951 s 	 Throughput = 0.4524 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00057951 s 	 Performance = 0.0565 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00055677 s 	 Throughput = 0.9417 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00055677 s 	 Performance = 0.1177 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00069278 s 	 Throughput = 1.5136 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00069278 s 	 Performance = 0.1892 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00042472 s 	 Throughput = 4.9378 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00042472 s 	 Performance = 0.6172 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00067325 s 	 Throughput = 6.2299 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00067325 s 	 Performance = 0.7787 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00076828 s 	 Throughput = 10.9186 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00076828 s 	 Performance = 1.3648 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00087868 s 	 Throughput = 19.0938 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00087868 s 	 Performance = 2.3867 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00075607 s 	 Throughput = 44.3799 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00075607 s 	 Performance = 5.5475 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00115843 s 	 Throughput = 57.9308 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00115843 s 	 Performance = 7.2413 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00229678 s 	 Throughput = 58.4373 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00229678 s 	 Performance = 7.3047 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00422496 s 	 Throughput = 63.5356 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00422496 s 	 Performance = 7.9419 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00837086 s 	 Throughput = 64.1357 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00837086 s 	 Performance = 8.0170 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663903 s 	 Throughput = 64.5315 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663903 s 	 Performance = 8.0664 GFLOPS
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00060283 s 	 Throughput = 0.0272 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00060283 s 	 Performance = 0.0034 GFLOPS
