Alg = 1 	 NbFPE = 0 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01655688 s 	 Performance = 8.1065 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01602165 s 	 Throughput = 67.0182 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01602165 s 	 Performance = 8.3773 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01571239 s 	 Throughput = 68.3373 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01571239 s 	 Performance = 8.5422 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01671013 s 	 Throughput = 64.2570 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01671013 s 	 Performance = 8.0321 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01668380 s 	 Throughput = 64.3583 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01668380 s 	 Performance = 8.0448 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01667635 s 	 Throughput = 64.3871 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01667635 s 	 Performance = 8.0484 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01995165 s 	 Throughput = 53.8172 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01995165 s 	 Performance = 6.7271 GFLOPS
