Alg = 1 	 NbFPE = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782461 s 	 Throughput = 60.2393 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782461 s 	 Performance = 7.5299 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 600 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782184 s 	 Throughput = 60.2486 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 600 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01782184 s 	 Performance = 7.5311 GFLOPS
Alg = 1 	 NbFPE = 0 	 Range = 700 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01789024 s 	 Throughput = 60.0183 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 700 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01789024 s 	 Performance = 7.5023 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 0 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01668898 s 	 Throughput = 64.3384 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 0 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01668898 s 	 Performance = 8.0423 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01671364 s 	 Throughput = 64.2434 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 10 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01671364 s 	 Performance = 8.0304 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663612 s 	 Throughput = 64.5428 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 20 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663612 s 	 Performance = 8.0679 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663316 s 	 Throughput = 64.5543 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 30 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663316 s 	 Performance = 8.0693 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01670134 s 	 Throughput = 64.2907 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01670134 s 	 Performance = 8.0363 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01664266 s 	 Throughput = 64.5175 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01664266 s 	 Performance = 8.0647 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01664450 s 	 Throughput = 64.5103 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01664450 s 	 Performance = 8.0638 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663657 s 	 Throughput = 64.5411 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663657 s 	 Performance = 8.0676 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663293 s 	 Throughput = 64.5552 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663293 s 	 Performance = 8.0694 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663203 s 	 Throughput = 64.5587 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663203 s 	 Performance = 8.0698 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01667722 s 	 Throughput = 64.3838 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01667722 s 	 Performance = 8.0480 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663277 s 	 Throughput = 64.5558 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663277 s 	 Performance = 8.0695 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01669988 s 	 Throughput = 64.2964 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01669988 s 	 Performance = 8.0370 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663455 s 	 Throughput = 64.5489 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663455 s 	 Performance = 8.0686 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663339 s 	 Throughput = 64.5534 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663339 s 	 Performance = 8.0692 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663242 s 	 Throughput = 64.5571 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663242 s 	 Performance = 8.0696 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01665917 s 	 Throughput = 64.4535 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01665917 s 	 Performance = 8.0567 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 600 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663990 s 	 Throughput = 64.5281 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 600 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663990 s 	 Performance = 8.0660 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 700 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663536 s 	 Throughput = 64.5457 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 700 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01663536 s 	 Performance = 8.0682 GFLOPS
